t cA cB
0 499 502
1 494 490
2 485 482
3 472 471
4 546 461
5 561 455
6 569 446
7 582 435
8 594 423
9 603 414
10 608 409
11 614 404
12 624 394
13 632 386
14 641 377
15 650 367
16 657 360
17 668 350
18 679 340
19 688 332
20 691 329
21 701 319
22 709 311
23 715 306
24 718 303
25 726 295
26 730 292
27 736 287
28 742 281
29 749 275
30 757 267
31 760 264
32 767 257
33 771 253
34 778 246
35 784 240
36 788 236
37 793 231
38 796 228
39 798 226
40 802 222
41 811 213
42 817 207
43 821 203
44 825 199
45 828 196
46 830 194
47 836 188
48 838 186
49 842 182
50 845 179
51 850 174
52 858 166
53 862 162
54 862 162
55 865 159
56 868 156
57 867 157
58 871 153
59 873 151
60 876 148
61 875 149
62 875 149
63 876 148
64 875 149
65 875 149
66 874 150
67 876 148
68 874 150
69 875 149
70 872 152
71 870 154
72 873 151
73 871 153
74 868 156
75 868 156
76 867 157
77 863 161
78 854 170
79 850 174
80 854 170
81 849 175
82 842 182
83 835 189
84 839 185
85 835 189
86 833 191
87 828 196
88 827 197
89 827 197
90 823 201
91 816 208
92 814 210
93 813 211
94 808 216
95 802 222
96 799 225
97 789 235
98 785 239
99 785 239
100 775 249
101 770 254
102 766 258
103 765 259
104 755 269
105 752 272
106 748 276
107 742 282
108 734 290
109 726 298
110 721 303
111 711 313
112 701 323
113 692 332
114 685 339
115 678 346
116 663 361
117 656 368
118 641 383
119 634 390
120 632 392
121 624 400
122 614 410
123 610 414
124 603 421
125 593 431
126 587 437
127 581 443
128 576 448
129 572 452
130 569 455
131 559 465
132 552 472
133 547 477
134 539 485
135 537 487
136 533 491
137 525 499
138 522 502
139 513 511
140 509 515
141 503 521
142 496 528
143 494 530
144 489 535
145 485 539
146 478 546
147 471 553
148 465 559
149 462 562
150 455 569
151 453 571
152 448 576
153 446 578
154 442 582
155 433 591
156 429 595
157 423 601
158 417 607
159 408 616
160 402 622
161 395 629
162 394 630
163 386 638
164 384 640
165 379 645
166 371 653
167 368 656
168 364 660
169 360 664
170 351 673
171 349 675
172 343 681
173 340 684
174 332 692
175 326 698
176 321 703
177 319 705
178 313 711
179 306 718
180 301 723
181 299 725
182 292 732
183 288 736
184 286 738
185 284 740
186 282 742
187 281 743
188 277 747
189 275 749
190 271 753
191 267 757
192 260 764
193 259 765
194 255 769
195 255 769
196 255 769
197 251 773
198 246 778
199 243 781
200 239 785
201 236 788
202 236 788
203 232 792
204 227 797
205 219 805
206 216 808
207 213 811
208 209 815
209 206 818
210 205 819
211 196 828
212 195 829
213 193 831
214 192 832
215 191 833
216 187 837
217 181 843
218 182 842
219 182 842
220 177 847
221 175 849
222 173 851
223 170 854
224 164 860
225 161 863
226 159 865
227 157 867
228 156 868
229 151 873
230 151 873
231 146 878
232 146 878
233 147 877
234 145 879
235 140 884
236 140 884
237 139 885
238 139 885
239 137 887
240 135 889
241 133 891
242 134 890
243 133 891
244 133 891
245 135 889
246 134 890
247 134 890
248 129 895
249 127 897
250 125 898
251 124 899
252 123 900
253 122 901
254 120 903
255 120 903
