t meanA meanB
0 0 0
1 0 0
2 0 0
3 0 0
4 1 0
5 1 0
6 1 0
7 2 0
8 3 0
9 4 0
10 4 0
11 5 0
12 6 0
13 6 0
14 7 0
15 8 0
16 8 0
17 9 0
18 9 0
19 10 0
20 10 0
21 10 0
22 11 0
23 11 0
24 11 0
25 12 0
26 12 0
27 12 1
28 12 1
29 12 1
30 12 1
31 12 1
32 13 1
33 13 1
34 13 1
35 13 1
36 13 2
37 13 2
38 13 2
39 13 2
40 12 2
41 12 2
42 12 2
43 12 3
44 12 3
45 12 3
46 12 3
47 12 3
48 12 3
49 11 3
50 11 4
51 11 4
52 11 4
53 11 4
54 10 4
55 10 4
56 10 4
57 10 4
58 10 5
59 10 5
60 10 5
61 10 5
62 10 5
63 10 5
64 9 5
65 10 5
66 9 5
67 9 5
68 9 6
69 9 6
70 9 6
71 9 6
72 9 6
73 8 6
74 8 6
75 8 6
76 8 6
77 8 6
78 8 6
79 8 6
80 8 6
81 8 6
82 8 6
83 8 6
84 7 6
85 7 6
86 7 6
87 7 6
88 7 6
89 7 6
90 7 7
91 7 7
92 7 7
93 7 7
94 6 7
95 6 7
96 6 7
97 6 7
98 6 7
99 6 7
100 6 7
101 6 7
102 6 7
103 6 7
104 6 7
105 5 7
106 5 7
107 5 7
108 5 6
109 5 6
110 5 6
111 5 6
112 4 6
113 4 6
114 4 6
115 4 6
116 4 6
117 4 6
118 4 6
119 4 6
120 4 6
121 4 6
122 4 6
123 4 6
124 4 6
125 3 6
126 3 6
127 3 6
128 3 6
129 3 6
130 3 5
131 3 5
132 3 5
133 3 5
134 3 5
135 3 5
136 3 5
137 2 5
138 2 5
139 2 5
140 2 5
141 2 5
142 2 5
143 2 5
144 2 5
145 2 5
146 2 5
147 2 5
148 2 5
149 2 5
150 2 5
151 2 5
152 2 5
153 2 5
154 2 5
155 2 5
156 2 4
157 2 4
158 2 4
159 2 4
160 2 4
161 2 4
162 1 4
163 1 4
164 1 4
165 1 4
166 1 4
167 1 4
168 1 4
169 1 4
170 1 4
171 1 4
172 1 4
173 1 4
174 1 4
175 1 4
176 1 4
177 1 4
178 1 4
179 1 4
180 1 3
181 1 3
182 1 3
183 1 3
184 1 3
185 1 3
186 1 3
187 1 3
188 1 3
189 1 3
190 1 3
191 0 3
192 0 3
193 0 3
194 0 3
195 0 3
196 0 3
197 0 3
198 0 3
199 0 3
200 0 3
201 0 3
202 1 3
203 1 3
204 1 2
205 2 2
206 3 2
207 3 2
208 4 2
209 5 2
210 5 2
211 6 2
212 7 2
213 7 2
214 8 2
215 9 2
216 9 2
217 10 2
218 10 2
219 11 3
220 11 3
221 12 3
222 12 3
223 12 3
224 13 3
225 13 3
226 13 3
227 14 3
228 14 3
229 14 4
230 14 4
231 14 4
232 14 4
233 14 4
234 14 4
235 13 4
236 13 4
237 14 5
238 13 5
239 13 5
240 13 5
241 13 5
242 13 6
243 13 6
244 13 6
245 13 6
246 13 6
247 13 6
248 12 6
249 12 6
250 12 6
251 12 7
252 12 7
253 12 7
254 11 7
255 11 7
256 11 7
257 11 7
258 11 7
259 11 8
260 11 8
261 10 8
262 10 8
263 10 8
264 9 8
265 9 8
266 9 8
267 9 8
268 9 8
269 8 8
270 8 8
271 8 8
272 8 8
273 7 8
274 7 8
275 7 8
276 7 8
277 7 8
278 7 8
279 6 8
280 6 8
281 6 8
282 6 8
283 6 8
284 6 8
285 6 8
286 6 8
287 6 8
288 5 8
289 5 8
290 5 8
291 5 8
292 5 8
293 5 8
294 5 8
295 5 8
296 5 8
297 5 8
298 5 8
299 4 8
300 4 8
301 4 8
302 4 8
303 4 8
304 4 8
305 4 8
306 4 8
307 4 8
308 4 8
309 4 8
310 4 8
311 4 7
312 4 7
313 3 7
314 3 7
315 3 7
316 3 7
317 3 7
318 3 7
319 3 7
320 3 7
321 3 7
322 3 7
323 3 7
324 3 7
325 3 7
326 3 7
327 3 7
328 2 6
329 2 6
330 2 6
331 2 6
332 2 6
333 2 6
334 2 6
335 2 6
336 2 6
337 2 6
338 2 6
339 2 5
340 2 5
341 2 5
342 2 5
343 2 5
344 2 5
345 2 5
346 2 5
347 2 5
348 1 5
349 1 5
350 1 5
351 1 5
352 1 5
353 1 5
354 1 5
355 1 5
356 1 5
357 1 4
358 1 4
359 1 4
360 1 4
361 1 4
362 1 4
363 1 4
364 1 4
365 1 4
366 1 4
367 1 4
368 1 4
369 1 4
370 1 4
371 1 4
372 1 4
373 1 4
374 1 4
375 1 4
376 0 4
377 0 4
378 0 4
379 0 4
380 0 3
381 0 3
382 0 3
383 0 3
384 0 3
385 0 3
386 0 3
387 0 3
388 0 3
389 0 3
390 0 3
391 0 3
392 0 3
393 0 3
394 0 3
395 0 3
396 0 3
397 0 3
398 0 3
399 0 3
400 0 3
401 0 3
402 0 3
403 1 2
404 1 2
405 2 2
406 2 2
407 3 2
408 4 2
409 4 2
410 5 2
411 6 2
412 6 2
413 7 2
414 8 2
415 8 2
416 9 2
417 9 2
418 10 2
419 10 2
420 11 2
421 11 2
422 11 3
423 11 3
424 12 3
425 12 3
426 12 3
427 12 3
428 12 3
429 12 3
430 12 4
431 12 4
432 12 4
433 12 4
434 12 4
435 12 4
436 12 4
437 12 5
438 12 5
439 12 5
440 12 5
441 12 5
442 12 5
443 12 6
444 12 6
445 12 6
446 12 6
447 12 6
448 12 6
449 11 6
450 11 6
451 11 7
452 11 7
453 11 7
454 10 7
455 10 7
456 10 7
457 10 7
458 9 7
459 9 7
460 9 7
461 9 7
462 9 7
463 9 7
464 9 8
465 9 8
466 9 8
467 8 8
468 8 8
469 8 8
470 8 8
471 8 8
472 8 8
473 8 8
474 8 8
475 7 8
476 7 8
477 7 8
478 7 8
479 7 8
480 6 8
481 6 8
482 6 8
483 6 8
484 6 8
485 6 8
486 6 8
487 6 8
488 5 8
489 5 8
490 5 8
491 5 8
492 5 8
493 5 8
494 5 8
495 5 8
496 5 8
497 5 7
498 5 7
499 5 7
500 4 7
501 4 7
502 4 7
503 4 7
504 4 7
505 4 7
506 4 7
507 4 7
508 4 7
509 4 7
510 4 7
511 4 7
512 3 7
513 3 7
514 3 6
515 3 6
516 3 6
517 3 6
518 3 6
519 3 6
520 3 6
521 3 6
522 3 6
523 3 6
524 3 6
525 2 6
526 2 6
527 2 6
528 2 6
529 2 6
530 2 6
531 2 6
532 2 6
533 2 6
534 2 6
535 2 6
536 2 6
537 2 5
538 2 6
539 2 5
540 2 5
541 2 5
542 2 5
543 2 5
544 2 5
545 2 5
546 2 5
547 2 5
548 2 5
549 2 5
550 1 5
551 1 5
552 1 5
553 1 5
554 1 5
555 1 5
556 1 5
557 1 5
558 1 5
559 1 5
560 1 5
561 1 5
562 1 4
563 1 4
564 1 4
565 1 4
566 1 4
567 1 4
568 1 4
569 1 4
570 1 4
571 1 4
