Ainit T val
0 1 0
2 1 1
4 1 1
6 1 1
8 1 1
10 1 1
12 1 1
14 1 1
16 1 1
18 1 1
20 1 1
22 1 1
24 1 1
26 1 1
28 1 1
30 1 1
32 1 1
34 1 1
36 1 1
38 1 1
40 1 1
42 1 1
44 1 1
46 1 1
48 1 1
50 1 1
0 31 0
2 31 1
4 31 1
6 31 1
8 31 1
10 31 1
12 31 1
14 31 1
16 31 1
18 31 1
20 31 1
22 31 1
24 31 1
26 31 1
28 31 1
30 31 1
32 31 1
34 31 1
36 31 1
38 31 1
40 31 1
42 31 1
44 31 1
46 31 1
48 31 1
50 31 1
0 61 0
2 61 1.00688
4 61 1
6 61 1.00293
8 61 1
10 61 1.00195
12 61 1.00684
14 61 1
16 61 1.01367
18 61 1.00391
20 61 1
22 61 1
24 61 1
26 61 1
28 61 1
30 61 1.00195
32 61 1
34 61 1
36 61 1
38 61 1.00098
40 61 1.00684
42 61 1.00781
44 61 1
46 61 1
48 61 1
50 61 1
0 91 0
2 91 1.05158
4 91 1.06445
6 91 1.05566
8 91 1.06055
10 91 1.02832
12 91 1.00977
14 91 1.08105
16 91 1.07422
18 91 1.04492
20 91 1.06348
22 91 1.03906
24 91 1.02051
26 91 1.07129
28 91 1.02637
30 91 1.03711
32 91 1.03223
34 91 1.06348
36 91 1.03516
38 91 1.09668
40 91 1.03223
42 91 1.03613
44 91 1.04492
46 91 1.08008
48 91 1.04199
50 91 1.01465
0 121 0
2 121 1.1174
4 121 1.14746
6 121 1.17383
8 121 1.21582
10 121 1.22949
12 121 1.18848
14 121 1.14648
16 121 1.2041
18 121 1.20117
20 121 1.20312
22 121 1.24512
24 121 1.20898
26 121 1.2334
28 121 1.14648
30 121 1.19824
32 121 1.12109
34 121 1.22559
36 121 1.18457
38 121 1.22461
40 121 1.1748
42 121 1.16309
44 121 1.21094
46 121 1.16602
48 121 1.21777
50 121 1.25195
0 151 0
2 151 1.20043
4 151 1.25293
6 151 1.28125
8 151 1.21875
10 151 1.26367
12 151 1.27344
14 151 1.21582
16 151 1.24512
18 151 1.26367
20 151 1.26465
22 151 1.2666
24 151 1.2207
26 151 1.26953
28 151 1.28809
30 151 1.23438
32 151 1.19629
34 151 1.2793
36 151 1.21582
38 151 1.27051
40 151 1.25098
42 151 1.25195
44 151 1.27051
46 151 1.26465
48 151 1.23145
50 151 1.28906
0 181 0
2 181 1.19194
4 181 1.27468
6 181 1.33398
8 181 1.30176
10 181 1.29199
12 181 1.29785
14 181 1.29785
16 181 1.33691
18 181 1.32617
20 181 1.31445
22 181 1.28809
24 181 1.30078
26 181 1.29883
28 181 1.28809
30 181 1.29883
32 181 1.32422
34 181 1.28906
36 181 1.30664
38 181 1.29395
40 181 1.33496
42 181 1.29395
44 181 1.24023
46 181 1.27637
48 181 1.27637
50 181 1.28906
0 211 0
2 211 1.28902
4 211 1.37081
6 211 1.3623
8 211 1.34668
10 211 1.38281
12 211 1.3877
14 211 1.36523
16 211 1.35645
18 211 1.33594
20 211 1.35254
22 211 1.34473
24 211 1.39062
26 211 1.4043
28 211 1.33594
30 211 1.3584
32 211 1.36133
34 211 1.35449
36 211 1.37109
38 211 1.36523
40 211 1.3584
42 211 1.33594
44 211 1.38281
46 211 1.36914
48 211 1.3291
50 211 1.37109
0 241 0
2 241 1.44236
4 241 1.54014
6 241 1.52344
8 241 1.49707
10 241 1.55762
12 241 1.50977
14 241 1.5332
16 241 1.55859
18 241 1.51074
20 241 1.54492
22 241 1.53125
24 241 1.53516
26 241 1.51074
28 241 1.5
30 241 1.48438
32 241 1.54102
34 241 1.53418
36 241 1.48633
38 241 1.5
40 241 1.56445
42 241 1.52441
44 241 1.60156
46 241 1.50293
48 241 1.51074
50 241 1.53906
0 271 0
2 271 1.24646
4 271 1.38889
6 271 1.39628
8 271 1.41992
10 271 1.43359
12 271 1.3877
14 271 1.36523
16 271 1.39648
18 271 1.38184
20 271 1.4082
22 271 1.4248
24 271 1.40332
26 271 1.40137
28 271 1.34473
30 271 1.35449
32 271 1.39453
34 271 1.40723
36 271 1.42773
38 271 1.38477
40 271 1.41016
42 271 1.37793
44 271 1.34766
46 271 1.39648
48 271 1.38086
50 271 1.40527
0 301 0
2 301 1.1944
4 301 1.36588
6 301 1.3783
8 301 1.4209
10 301 1.39551
12 301 1.4043
14 301 1.39941
16 301 1.3457
18 301 1.39648
20 301 1.40918
22 301 1.4541
24 301 1.38086
26 301 1.41602
28 301 1.38281
30 301 1.39355
32 301 1.43262
34 301 1.38477
36 301 1.36621
38 301 1.37207
40 301 1.39941
42 301 1.375
44 301 1.40332
46 301 1.41602
48 301 1.35645
50 301 1.4043
0 331 0
2 331 1.78091
4 331 1.83969
6 331 1.77193
8 331 1.8045
10 331 1.75787
12 331 1.76102
14 331 1.80176
16 331 1.77539
18 331 1.76172
20 331 1.75488
22 331 1.76367
24 331 1.80469
26 331 1.73828
28 331 1.78418
30 331 1.71777
32 331 1.74902
34 331 1.7168
36 331 1.73633
38 331 1.76367
40 331 1.76855
42 331 1.75
44 331 1.74023
46 331 1.77051
48 331 1.75586
50 331 1.73926
0 361 0
2 361 1.55238
4 361 1.58843
6 361 1.57029
8 361 1.54429
10 361 1.5914
12 361 1.60802
14 361 1.59766
16 361 1.57812
18 361 1.56445
20 361 1.5498
22 361 1.61816
24 361 1.55859
26 361 1.60156
28 361 1.58594
30 361 1.58301
32 361 1.61816
34 361 1.57031
36 361 1.64551
38 361 1.58203
40 361 1.60547
42 361 1.63379
44 361 1.6123
46 361 1.61816
48 361 1.55371
50 361 1.62598
0 391 0
2 391 1.27835
4 391 1.36544
6 391 1.3549
8 391 1.37598
10 391 1.38867
12 391 1.43457
14 391 1.4082
16 391 1.4043
18 391 1.40625
20 391 1.4082
22 391 1.41211
24 391 1.40234
26 391 1.42773
28 391 1.36523
30 391 1.35742
32 391 1.43262
34 391 1.44629
36 391 1.39355
38 391 1.39551
40 391 1.42676
42 391 1.41113
44 391 1.41113
46 391 1.4043
48 391 1.39551
50 391 1.44043
0 421 0
2 421 1.14974
4 421 1.34643
6 421 1.20215
8 421 1.2207
10 421 1.26074
12 421 1.37207
14 421 1.31934
16 421 1.30957
18 421 1.31055
20 421 1.38965
22 421 1.33887
24 421 1.37598
26 421 1.35254
28 421 1.36621
30 421 1.28125
32 421 1.34863
34 421 1.29688
36 421 1.38086
38 421 1.30078
40 421 1.36328
42 421 1.27734
44 421 1.27734
46 421 1.30859
48 421 1.24512
50 421 1.35938
0 451 0
2 451 1.02921
4 451 1.31548
6 451 1.2561
8 451 1.3929
10 451 1.48758
12 451 1.4165
14 451 1.52252
16 451 1.44912
18 451 1.47461
