Ainit T val
0 1 0
2 1 1
4 1 2
6 1 2
8 1 2
10 1 2
12 1 1
14 1 1
16 1 2
18 1 1
20 1 2
22 1 2
24 1 2
26 1 2
28 1 2
30 1 1
32 1 1
34 1 1
36 1 1
38 1 2
40 1 2
42 1 1
44 1 1
46 1 1
48 1 2
50 1 1
0 101 0
2 101 2
4 101 2
6 101 2
8 101 1
10 101 1
12 101 2
14 101 2
16 101 2
18 101 2
20 101 2
22 101 1
24 101 2
26 101 2
28 101 2
30 101 2
32 101 1
34 101 2
36 101 2
38 101 2
40 101 1
42 101 2
44 101 1
46 101 1
48 101 1
50 101 2
0 201 0
2 201 1
4 201 1
6 201 2
8 201 1
10 201 1
12 201 1
14 201 2
16 201 1
18 201 1
20 201 1
22 201 1
24 201 1
26 201 1
28 201 1
30 201 1
32 201 1
34 201 1
36 201 2
38 201 1
40 201 2
42 201 2
44 201 1
46 201 1
48 201 1
50 201 2
0 301 0
2 301 1
4 301 1
6 301 2
8 301 2
10 301 2
12 301 1
14 301 1
16 301 1
18 301 1
20 301 1
22 301 2
24 301 1
26 301 2
28 301 2
30 301 2
32 301 2
34 301 1
36 301 1
38 301 2
40 301 2
42 301 2
44 301 1
46 301 1
48 301 1
50 301 2
0 401 0
2 401 2
4 401 1
6 401 2
8 401 2
10 401 1
12 401 2
14 401 1
16 401 1
18 401 1
20 401 2
22 401 2
24 401 2
26 401 2
28 401 1
30 401 1
32 401 1
34 401 2
36 401 2
38 401 2
40 401 2
42 401 2
44 401 2
46 401 2
48 401 2
50 401 2
0 501 0
2 501 0
4 501 0
6 501 0
8 501 1
10 501 1
12 501 0
14 501 0
16 501 0
18 501 1
20 501 1
22 501 0
24 501 1
26 501 1
28 501 1
30 501 2
32 501 1
34 501 0
36 501 1
38 501 1
40 501 1
42 501 1
44 501 1
46 501 1
48 501 1
50 501 1
0 601 0
2 601 0
4 601 0
6 601 0
8 601 0
10 601 0
12 601 1
14 601 0
16 601 0
18 601 1
20 601 1
22 601 0
24 601 1
26 601 1
28 601 0
30 601 1
32 601 1
34 601 2
36 601 1
38 601 0
40 601 0
42 601 1
44 601 0
46 601 0
48 601 1
50 601 1
0 701 0
2 701 0
4 701 0
6 701 0
8 701 0
10 701 0
12 701 0
14 701 0
16 701 0
18 701 0
20 701 0
22 701 0
24 701 0
26 701 0
28 701 0
30 701 0
32 701 0
34 701 0
36 701 0
38 701 0
40 701 0
42 701 0
44 701 0
46 701 0
48 701 0
50 701 1
0 801 0
2 801 0
4 801 0
6 801 0
8 801 0
10 801 0
12 801 0
14 801 0
16 801 0
18 801 0
20 801 0
22 801 0
24 801 0
26 801 0
28 801 0
30 801 0
32 801 0
34 801 0
36 801 0
38 801 0
40 801 0
42 801 0
44 801 0
46 801 0
48 801 0
50 801 0
0 901 0
2 901 0
4 901 0
6 901 0
8 901 0
10 901 0
12 901 0
14 901 0
16 901 0
18 901 0
20 901 0
22 901 0
24 901 0
26 901 0
28 901 0
30 901 0
32 901 0
34 901 0
36 901 0
38 901 0
40 901 0
42 901 0
44 901 0
46 901 0
48 901 0
50 901 0
0 1001 0
2 1001 0
4 1001 0
6 1001 0
8 1001 0
10 1001 0
12 1001 0
14 1001 0
16 1001 0
18 1001 0
20 1001 0
22 1001 0
24 1001 0
26 1001 0
28 1001 0
30 1001 0
32 1001 0
34 1001 0
36 1001 0
38 1001 0
40 1001 0
42 1001 0
44 1001 0
46 1001 0
48 1001 0
50 1001 0
0 1101 0
2 1101 0
4 1101 0
6 1101 0
8 1101 0
10 1101 0
12 1101 0
14 1101 0
16 1101 0
18 1101 0
20 1101 0
22 1101 0
24 1101 0
26 1101 0
28 1101 0
30 1101 0
32 1101 0
34 1101 0
36 1101 0
38 1101 0
40 1101 0
42 1101 0
44 1101 0
46 1101 0
48 1101 0
50 1101 0
0 1201 0
2 1201 0
4 1201 0
6 1201 0
8 1201 0
10 1201 0
12 1201 0
14 1201 0
16 1201 0
18 1201 0
20 1201 0
22 1201 0
24 1201 0
26 1201 0
28 1201 0
30 1201 0
32 1201 0
34 1201 0
36 1201 0
38 1201 0
40 1201 0
42 1201 0
44 1201 0
46 1201 0
48 1201 0
50 1201 0
0 1301 0
2 1301 0
4 1301 0
6 1301 0
8 1301 0
10 1301 0
12 1301 0
14 1301 0
16 1301 0
18 1301 0
20 1301 0
22 1301 0
24 1301 0
26 1301 0
28 1301 0
30 1301 0
32 1301 0
34 1301 0
36 1301 0
38 1301 0
40 1301 0
42 1301 0
44 1301 0
46 1301 0
48 1301 0
50 1301 0
0 1401 0
2 1401 0
4 1401 0
6 1401 0
8 1401 0
10 1401 0
12 1401 0
14 1401 0
16 1401 0
18 1401 0
20 1401 0
22 1401 0
24 1401 0
26 1401 0
28 1401 0
30 1401 0
32 1401 0
34 1401 0
36 1401 0
38 1401 0
40 1401 0
42 1401 0
44 1401 0
46 1401 0
48 1401 0
50 1401 0
0 1501 0
2 1501 0
4 1501 0
6 1501 0
8 1501 0
10 1501 0
12 1501 0
14 1501 0
16 1501 0
18 1501 0
20 1501 0
22 1501 0
24 1501 0
26 1501 0
28 1501 0
30 1501 0
32 1501 0
34 1501 0
36 1501 0
38 1501 0
40 1501 0
42 1501 0
44 1501 0
46 1501 0
48 1501 0
50 1501 0
