Ainit T val
0 601 0
1 601 0
2 601 0
3 601 0
4 601 0
5 601 0
6 601 10
0 576 0
1 576 0
2 576 0
3 576 0
4 576 0
5 576 0
6 576 10
0 551 0
1 551 0
2 551 0
3 551 0
4 551 10
5 551 10
6 551 10
0 526 0
1 526 0
2 526 0
3 526 0
4 526 0
5 526 10
6 526 10
0 501 0
1 501 0
2 501 10
3 501 0
4 501 0
5 501 0
6 501 10
0 476 0
1 476 10
2 476 10
3 476 0
4 476 0
5 476 10
6 476 10
0 451 0
1 451 10
2 451 20
3 451 0
4 451 0
5 451 10
6 451 10
0 426 0
1 426 0
2 426 10
3 426 0
4 426 0
5 426 10
6 426 10
0 401 0
1 401 0
2 401 10
3 401 10
4 401 10
5 401 20
6 401 10
0 376 0
1 376 10
2 376 10
3 376 10
4 376 10
5 376 10
6 376 10
0 351 0
1 351 10
2 351 10
3 351 10
4 351 20
5 351 10
6 351 10
0 326 0
1 326 10
2 326 10
3 326 10
4 326 10
5 326 20
6 326 10
0 301 0
1 301 10
2 301 20
3 301 20
4 301 20
5 301 10
6 301 10
0 276 0
1 276 10
2 276 10
3 276 10
4 276 10
5 276 10
6 276 10
0 251 0
1 251 10
2 251 10
3 251 10
4 251 10
5 251 10
6 251 10
0 226 0
1 226 20
2 226 20
3 226 20
4 226 20
5 226 20
6 226 10
0 201 00
1 201 10
2 201 10
3 201 10
4 201 10
5 201 10
6 201 10
0 176 00
1 176 10
2 176 20
3 176 20
4 176 10
5 176 10
6 176 10
0 151 00
1 151 20
2 151 10
3 151 20
4 151 20
5 151 10
6 151 10
0 126 00
1 126 10
2 126 20
3 126 20
4 126 10
5 126 20
6 126 10
0 101 00
1 101 20
2 101 20
3 101 20
4 101 20
5 101 20
6 101 10
0 76 00
1 76 20
2 76 10
3 76 20
4 76 20
5 76 10
6 76 10
0 51 00
1 51 20
2 51 20
3 51 20
4 51 10
5 51 20
6 51 10
0 26 00
1 26 20
2 26 10
3 26 20
4 26 20
5 26 20
6 26 10
0 1 00
1 1 20
2 1 10
3 1 10
4 1 10
5 1 20
6 1 10
