Ainit T val
0 1 0
2 1 1
4 1 2
6 1 2
8 1 1
10 1 2
12 1 1
14 1 1
16 1 1
18 1 1
20 1 1
22 1 1
24 1 1
26 1 1
28 1 1
30 1 1
32 1 1
34 1 1
36 1 1
38 1 1
40 1 1
42 1 1
44 1 1
46 1 1
48 1 1
50 1 1
0 41 0
2 41 1
4 41 1
6 41 2
8 41 2
10 41 2
12 41 2
14 41 1
16 41 1
18 41 1
20 41 1
22 41 1
24 41 1
26 41 1
28 41 1
30 41 1
32 41 1
34 41 1
36 41 1
38 41 1
40 41 1
42 41 1
44 41 1
46 41 1
48 41 1
50 41 1
0 81 0
2 81 2
4 81 2
6 81 2
8 81 2
10 81 1
12 81 2
14 81 2
16 81 1
18 81 1
20 81 1
22 81 1
24 81 1
26 81 1
28 81 1
30 81 1
32 81 1
34 81 1
36 81 1
38 81 1
40 81 1
42 81 1
44 81 1
46 81 1
48 81 1
50 81 1
0 121 0
2 121 2
4 121 2
6 121 1
8 121 2
10 121 2
12 121 2
14 121 1
16 121 1
18 121 1
20 121 1
22 121 1
24 121 1
26 121 1
28 121 1
30 121 1
32 121 1
34 121 1
36 121 1
38 121 1
40 121 1
42 121 1
44 121 1
46 121 1
48 121 1
50 121 1
0 161 0
2 161 1
4 161 2
6 161 1
8 161 2
10 161 2
12 161 1
14 161 2
16 161 1
18 161 1
20 161 1
22 161 1
24 161 1
26 161 1
28 161 1
30 161 1
32 161 1
34 161 1
36 161 1
38 161 1
40 161 1
42 161 1
44 161 1
46 161 1
48 161 1
50 161 1
0 201 0
2 201 1
4 201 1
6 201 1
8 201 1
10 201 1
12 201 1
14 201 1
16 201 1
18 201 1
20 201 1
22 201 1
24 201 1
26 201 1
28 201 1
30 201 1
32 201 1
34 201 1
36 201 1
38 201 1
40 201 1
42 201 1
44 201 1
46 201 1
48 201 1
50 201 1
0 241 0
2 241 1
4 241 2
6 241 2
8 241 2
10 241 2
12 241 2
14 241 2
16 241 1
18 241 1
20 241 1
22 241 1
24 241 1
26 241 1
28 241 1
30 241 1
32 241 1
34 241 1
36 241 1
38 241 1
40 241 1
42 241 1
44 241 1
46 241 1
48 241 1
50 241 1
0 281 0
2 281 1
4 281 1
6 281 2
8 281 1
10 281 2
12 281 2
14 281 1
16 281 1
18 281 1
20 281 1
22 281 1
24 281 1
26 281 1
28 281 1
30 281 1
32 281 1
34 281 1
36 281 1
38 281 1
40 281 1
42 281 1
44 281 1
46 281 1
48 281 1
50 281 1
0 321 0
2 321 1
4 321 2
6 321 1
8 321 1
10 321 1
12 321 2
14 321 2
16 321 1
18 321 2
20 321 1
22 321 1
24 321 2
26 321 2
28 321 2
30 321 2
32 321 2
34 321 2
36 321 1
38 321 2
40 321 1
42 321 2
44 321 2
46 321 2
48 321 2
50 321 2
0 361 0
2 361 1
4 361 2
6 361 1
8 361 1
10 361 1
12 361 1
14 361 2
16 361 2
18 361 2
20 361 1
22 361 1
24 361 1
26 361 1
28 361 1
30 361 1
32 361 1
34 361 1
36 361 1
38 361 1
40 361 2
42 361 1
44 361 1
46 361 1
48 361 1
50 361 1
0 401 0
2 401 1
4 401 2
6 401 2
8 401 2
10 401 1
12 401 2
14 401 1
16 401 1
18 401 2
20 401 2
22 401 2
24 401 1
26 401 2
28 401 2
30 401 1
32 401 1
34 401 1
36 401 1
38 401 2
40 401 1
42 401 1
44 401 2
46 401 2
48 401 1
50 401 1
0 441 0
2 441 0
4 441 1
6 441 0
8 441 1
10 441 2
12 441 2
14 441 2
16 441 2
18 441 1
20 441 1
22 441 1
24 441 1
26 441 1
28 441 2
30 441 1
32 441 1
34 441 2
36 441 2
38 441 2
40 441 1
42 441 1
44 441 1
46 441 2
48 441 2
50 441 1
0 481 0
2 481 0
4 481 2
6 481 1
8 481 1
10 481 1
12 481 1
14 481 1
16 481 2
18 481 2
20 481 1
22 481 2
24 481 0
26 481 1
28 481 1
30 481 1
32 481 2
34 481 2
36 481 1
38 481 1
40 481 2
42 481 1
44 481 1
46 481 2
48 481 1
50 481 1
0 521 0
2 521 0
4 521 0
6 521 0
8 521 0
10 521 0
12 521 1
14 521 1
16 521 1
18 521 1
20 521 0
22 521 1
24 521 1
26 521 0
28 521 1
30 521 1
32 521 1
34 521 1
36 521 1
38 521 1
40 521 1
42 521 1
44 521 1
46 521 1
48 521 1
50 521 1
0 561 0
2 561 0
4 561 0
6 561 0
8 561 0
10 561 0
12 561 0
14 561 1
16 561 1
18 561 1
20 561 0
22 561 0
24 561 0
26 561 1
28 561 1
30 561 0
32 561 1
34 561 1
36 561 1
38 561 1
40 561 1
42 561 0
44 561 0
46 561 0
48 561 1
50 561 1
0 601 0
2 601 0
4 601 0
6 601 0
8 601 1
10 601 0
12 601 0
14 601 0
16 601 1
18 601 0
20 601 0
22 601 0
24 601 1
26 601 0
28 601 1
30 601 0
32 601 0
34 601 0
36 601 0
38 601 0
40 601 0
42 601 0
44 601 1
46 601 0
48 601 0
50 601 0
0 641 0
2 641 0
4 641 0
6 641 0
8 641 0
10 641 0
12 641 0
14 641 0
16 641 0
18 641 0
20 641 0
22 641 0
24 641 0
26 641 1
28 641 0
30 641 1
32 641 0
34 641 0
36 641 0
38 641 0
40 641 0
42 641 0
44 641 2
46 641 0
48 641 2
50 641 1
0 681 0
2 681 0
4 681 0
6 681 0
8 681 0
10 681 0
12 681 0
14 681 0
16 681 0
18 681 0
20 681 2
22 681 0
24 681 0
26 681 0
28 681 0
30 681 0
32 681 0
34 681 0
36 681 0
38 681 0
40 681 0
42 681 2
44 681 0
46 681 0
48 681 0
50 681 1
0 721 0
2 721 0
4 721 0
6 721 0
8 721 0
10 721 0
12 721 0
14 721 0
16 721 0
18 721 0
20 721 0
22 721 0
24 721 0
26 721 0
28 721 0
30 721 0
32 721 0
34 721 0
36 721 0
38 721 0
40 721 0
42 721 0
44 721 0
46 721 0
48 721 0
50 721 1
0 761 0
2 761 0
4 761 0
6 761 0
8 761 0
10 761 0
12 761 0
14 761 0
16 761 0
18 761 0
20 761 0
22 761 0
24 761 0
26 761 0
28 761 0
30 761 0
32 761 0
34 761 0
36 761 0
38 761 0
40 761 0
42 761 0
44 761 0
46 761 0
48 761 0
50 761 0
0 801 0
2 801 0
4 801 0
6 801 0
8 801 0
10 801 0
12 801 0
14 801 0
16 801 0
18 801 0
20 801 0
22 801 0
24 801 0
26 801 0
28 801 0
30 801 0
32 801 0
34 801 0
36 801 0
38 801 0
40 801 0
42 801 0
44 801 0
46 801 0
48 801 0
50 801 0
1 2 1
3 2 1
5 2 1
7 2 1
9 2 2
11 2 1
13 2 1
15 2 1
17 2 1
19 2 1
21 2 1
23 2 1
25 2 1
27 2 1
